variable,percona default,server1 mariadb server,percona server2,reason,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
port,3306,3306,,,,,,,,,,,,,,,,,,,,,,,,,,,
socket,/var/lib/mysql/mysql.sock,/var/run/mysqld/mysqld.sock,,,,,,,,,,,,,,,,,,,,,,,,,,,
user,mysql,mysql,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_storage_engine,InnoDB,InnoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,
socket,/var/lib/mysql/mysql.sock,/var/run/mysqld/mysqld.sock,,,,,,,,,,,,,,,,,,,,,,,,,,,
pid_file,/var/lib/mysql/mysql.pid,/var/run/mysqld/mysqld.pid,,,,,,,,,,,,,,,,,,,,,,,,,,,
key_buffer_size,32M,128M,,"use for isam engine, ignore for innodb",,,,,,,,,,,,,,,,,,,,,,,,,
myisam_recover,"FORCE,BACKUP",BACKUP,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_allowed_packet,16M,128M,128M,"When you change the message buffer size by changing the value of the max_allowed_packet variable, you should also change the buffer size on the client side if your client program permits it. The default max_allowed_packet value built in to the client library is 1GB, but individual client programs might override this. For example, mysql and mysqldump have defaults of 16MB and 24MB, respectively. They also enable you to change the client-side value by setting max_allowed_packet on the command line or in an option file. The session value of this variable is read only. The client can receive up to as many bytes as the session value. However, the server will not send to the client more bytes than the current global max_allowed_packet value. (The global value could be less than the session value if the global value is changed after the client connects.)",,,,,,,,,,,,,,,,,,,,,,,,,
max_connect_errors,1000000,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,
sysdate_is_now,1,,1,"The session value of this variable is read only. The client can receive up to as many bytes as the session value. However, the server will not send to the client more bytes than the current global max_allowed_packet value. (The global value could be less than the session value if the global value is changed after the client connects.)",,,,,,,,,,,,,,,,,,,,,,,,,
innodb,FORCE,,FORCE,,,,,,,,,,,,,,,,,,,,,,,,,,
datadir,/var/lib/mysql/,/var/lib/mysql,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_bin,/var/lib/mysql/mysql-bin,/var/log/mysql/mariadb-bin,,"enabling binary logging is mandatory if you want the server to act as a replication master. If so, don’t forget to also set server_id to a unique value. It is also useful for a single server when you want to be able to do point-in-time recovery: restore your latest backup and apply the binary logs. Once created, binary log files are kept forever. So if you do not want to run out of disk space, you should either purge old files with PURGE BINARY LOGS or set expire_logs_days to specify after how many days the logs will be automatically purged.",,,,,,,,,,,,,,,,,,,,,,,,,
expire_logs_days,14,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,
